level,code,type,name
3,220323,自治县,伊通满族自治县
3,220382,县级市,双辽市
2,220400,地级市,辽源市
3,220402,市辖区,龙山区
3,220403,市辖区,西安区
3,220421,县,东丰县
3,220422,县,东辽县
2,220500,地级市,通化市
3,220502,市辖区,东昌区
3,220503,市辖区,二道江区
3,220521,县,通化县
3,220523,县,辉南县
3,220524,县,柳河县
3,220581,县级市,梅河口市
3,220582,县级市,集安市
2,220600,地级市,白山市
3,220602,市辖区,浑江区
3,220605,市辖区,江源区
3,220621,县,抚松县
3,220622,县,靖宇县
3,220623,自治县,长白朝鲜族自治县
3,220681,县级市,临江市
2,220700,地级市,松原市
3,220702,市辖区,宁江区
3,220721,自治县,前郭尔罗斯蒙古族自治县
3,220722,县,长岭县
3,220723,县,乾安县
3,220781,县级市,扶余市
2,220800,地级市,白城市
3,220802,市辖区,洮北区
3,220821,县,镇赉县
3,220822,县,通榆县
3,220881,县级市,洮南市
3,220882,县级市,大安市
2,222400,自治州,延边朝鲜族自治州
3,222401,县级市,延吉市
3,222402,县级市,图们市
3,222403,县级市,敦化市
3,222404,县级市,珲春市
3,222405,县级市,龙井市
3,222406,县级市,和龙市
3,222424,县,汪清县
3,222426,县,安图县
1,230000,省,黑龙江省
2,230100,地级市,哈尔滨市
3,230102,市辖区,道里区
3,230103,市辖区,南岗区
3,230104,市辖区,道外区
3,230108,市辖区,平房区
3,230109,市辖区,松北区
3,230110,市辖区,香坊区
3,230111,市辖区,呼兰区
3,230112,市辖区,阿城区
3,230113,市辖区,双城区
3,230123,县,依兰县
3,230124,县,方正县
3,230125,县,宾县
3,230126,县,巴彦县
3,230127,县,木兰县
3,230128,县,通河县
3,230129,县,延寿县
3,230183,县级市,尚志市
3,230184,县级市,五常市
2,230200,地级市,齐齐哈尔市
3,230202,市辖区,龙沙区
3,230203,市辖区,建华区
3,230204,市辖区,铁锋区
3,230205,市辖区,昂昂溪区
3,230206,市辖区,富拉尔基区
3,230207,市辖区,碾子山区
3,230208,市辖区,梅里斯达斡尔族区
3,230221,县,龙江县
3,230223,县,依安县
3,230224,县,泰来县
3,230225,县,甘南县
3,230227,县,富裕县
3,230229,县,克山县
3,230230,县,克东县
3,230231,县,拜泉县
3,230281,县级市,讷河市
2,230300,地级市,鸡西市
3,230302,市辖区,鸡冠区
3,230303,市辖区,恒山区
3,230304,市辖区,滴道区
3,230305,市辖区,梨树区
3,230306,市辖区,城子河区
3,230307,市辖区,麻山区
3,230321,县,鸡东县
3,230381,县级市,虎林市
3,230382,县级市,密山市
2,230400,地级市,鹤岗市
3,230402,市辖区,向阳区
3,230403,市辖区,工农区
3,230404,市辖区,南山区
3,230405,市辖区,兴安区
3,230406,市辖区,东山区
3,230407,市辖区,兴山区
3,230421,县,萝北县
3,230422,县,绥滨县
2,230500,地级市,双鸭山市
3,230502,市辖区,尖山区
3,230503,市辖区,岭东区
3,230505,市辖区,四方台区
3,230506,市辖区,宝山区
3,230521,县,集贤县
3,230522,县,友谊县
3,230523,县,宝清县
3,230524,县,饶河县
2,230600,地级市,大庆市
3,230602,市辖区,萨尔图区
3,230603,市辖区,龙凤区
3,230604,市辖区,让胡路区
3,230605,市辖区,红岗区
3,230606,市辖区,大同区
3,230621,县,肇州县
3,230622,县,肇源县
3,230623,县,林甸县
3,230624,自治县,杜尔伯特蒙古族自治县
2,230700,地级市,伊春市
3,230717,市辖区,伊美区
3,230718,市辖区,乌翠区
3,230719,市辖区,友好区
3,230722,县,嘉荫县
3,230723,县,汤旺县
3,230724,县,丰林县
3,230725,县,大箐山县
3,230726,县,南岔县
3,230751,市辖区,金林区
3,230781,县级市,铁力市
2,230800,地级市,佳木斯市
3,230803,市辖区,向阳区
3,230804,市辖区,前进区
3,230805,市辖区,东风区
3,230811,市辖区,郊区
3,230822,县,桦南县
3,230826,县,桦川县
3,230828,县,汤原县
3,230881,县级市,同江市
3,230882,县级市,富锦市
3,230883,县级市,抚远市
2,230900,地级市,七台河市
3,230902,市辖区,新兴区
3,230903,市辖区,桃山区
3,230904,市辖区,茄子河区
3,230921,县,勃利县
2,231000,地级市,牡丹江市
3,231002,市辖区,东安区
3,231003,市辖区,阳明区
3,231004,市辖区,爱民区
3,231005,市辖区,西安区
3,231025,县,林口县
3,231081,县级市,绥芬河市
3,231083,县级市,海林市
3,231084,县级市,宁安市
3,231085,县级市,穆棱市
3,231086,县级市,东宁市
2,231100,地级市,黑河市
3,231102,市辖区,爱辉区
3,231123,县,逊克县
3,231124,县,孙吴县
3,231181,县级市,北安市
3,231182,县级市,五大连池市
3,231183,县级市,嫩江市
2,231200,地级市,绥化市
3,231202,市辖区,北林区
3,231221,县,望奎县
3,231222,县,兰西县
3,231223,县,青冈县
3,231224,县,庆安县
3,231225,县,明水县
3,231226,县,绥棱县
3,231281,县级市,安达市
3,231282,县级市,肇东市
3,231283,县级市,海伦市
2,232700,地区,大兴安岭地区
3,232701,县级市,漠河市
3,232721,县,呼玛县
3,232722,县,塔河县
1,310000,直辖市,上海市
3,310101,市辖区,黄浦区
3,310104,市辖区,徐汇区
3,310105,市辖区,长宁区
3,310106,市辖区,静安区
3,310107,市辖区,普陀区
3,310109,市辖区,虹口区
3,310110,市辖区,杨浦区
3,310112,市辖区,闵行区
3,310113,市辖区,宝山区
3,310114,市辖区,嘉定区
3,310115,市辖区,浦东新区
3,310116,市辖区,金山区
3,310117,市辖区,松江区
3,310118,市辖区,青浦区
3,310120,市辖区,奉贤区
3,310151,市辖区,崇明区
1,320000,省,江苏省
2,320100,地级市,南京市
3,320102,市辖区,玄武区
3,320104,市辖区,秦淮区
3,320105,市辖区,建邺区
3,320106,市辖区,鼓楼区
3,320111,市辖区,浦口区
3,320113,市辖区,栖霞区
3,320114,市辖区,雨花台区
3,320115,市辖区,江宁区
3,320116,市辖区,六合区
3,320117,市辖区,溧水区
3,320118,市辖区,高淳区
2,320200,地级市,无锡市
3,320205,市辖区,锡山区
3,320206,市辖区,惠山区
3,320211,市辖区,滨湖区
3,320213,市辖区,梁溪区
3,320214,市辖区,新吴区
3,320281,县级市,江阴市
3,320282,县级市,宜兴市
2,320300,地级市,徐州市
3,320302,市辖区,鼓楼区
3,320303,市辖区,云龙区
3,320305,市辖区,贾汪区
3,320311,市辖区,泉山区
3,320312,市辖区,铜山区
3,320321,县,丰县
3,320322,县,沛县
3,320324,县,睢宁县
3,320381,县级市,新沂市
3,320382,县级市,邳州市
2,320400,地级市,常州市
3,320402,市辖区,天宁区
3,320404,市辖区,钟楼区
3,320411,市辖区,新北区
3,320412,市辖区,武进区
3,320413,市辖区,金坛区
3,320481,县级市,溧阳市
2,320500,地级市,苏州市
3,320505,市辖区,虎丘区
3,320506,市辖区,吴中区
3,320507,市辖区,相城区
3,320508,市辖区,姑苏区
3,320509,市辖区,吴江区
3,320581,县级市,常熟市
3,320582,县级市,张家港市
3,320583,县级市,昆山市
3,320585,县级市,太仓市
2,320600,地级市,南通市
3,320612,市辖区,通州区
3,320613,市辖区,崇川区
3,320614,市辖区,海门区
3,320623,县,如东县
3,320681,县级市,启东市
3,320682,县级市,如皋市
3,320685,县级市,海安市
2,320700,地级市,连云港市
3,320703,市辖区,连云区
3,320706,市辖区,海州区
3,320707,市辖区,赣榆区
3,320722,县,东海县
3,320723,县,灌云县
3,320724,县,灌南县
2,320800,地级市,淮安市
3,320803,市辖区,淮安区
3,320804,市辖区,淮阴区
3,320812,市辖区,清江浦区
3,320813,市辖区,洪泽区
3,320826,县,涟水县
3,320830,县,盱眙县
3,320831,县,金湖县
2,320900,地级市,盐城市
3,320902,市辖区,亭湖区
3,320903,市辖区,盐都区
3,320904,市辖区,大丰区
3,320921,县,响水县
3,320922,县,滨海县
3,320923,县,阜宁县
3,320924,县,射阳县
3,320925,县,建湖县
3,320981,县级市,东台市
2,321000,地级市,扬州市
3,321002,市辖区,广陵区
3,321003,市辖区,邗江区
3,321012,市辖区,江都区
3,321023,县,宝应县
3,321081,县级市,仪征市
3,321084,县级市,高邮市
2,321100,地级市,镇江市
3,321102,市辖区,京口区
3,321111,市辖区,润州区
3,321112,市辖区,丹徒区
3,321181,县级市,丹阳市
3,321182,县级市,扬中市
3,321183,县级市,句容市
2,321200,地级市,泰州市
3,321202,市辖区,海陵区
3,321203,市辖区,高港区
3,321204,市辖区,姜堰区
3,321281,县级市,兴化市
3,321282,县级市,靖江市
3,321283,县级市,泰兴市
2,321300,地级市,宿迁市
3,321302,市辖区,宿城区
