level,code,type,name,revoked
4,520102203,民族乡,小碧布依族苗族乡,
3,520103000,市辖区,云岩区,
4,520103001,街道,文昌阁街道,
4,520103002,街道,毓秀路街道,
4,520103003,街道,八鸽岩街道,
4,520103004,街道,市西河街道,
4,520103005,街道,普陀路街道,
4,520103006,街道,大营路街道,
4,520103007,街道,黔灵东路街道,
4,520103008,街道,威清门街道,
4,520103009,街道,头桥街道,
4,520103010,街道,三桥路街道,
4,520103011,街道,盐务街街道,
4,520103012,街道,金关街道,
4,520103013,街道,马王街道,
4,520103014,街道,茶园路街道,
4,520103015,街道,杨惠街道,
4,520103016,街道,水东路街道,
4,520103017,街道,渔安街道,
4,520103100,镇,黔灵镇,
3,520111000,市辖区,花溪区,
4,520111001,街道,贵筑街道,
4,520111002,街道,阳光街道,
4,520111003,街道,清溪街道,
4,520111004,街道,溪北街道,
4,520111005,街道,黄河路街道,
4,520111006,街道,平桥街道,
4,520111007,街道,小孟街道,
4,520111008,街道,金筑街道,
4,520111009,街道,党武街道,
4,520111101,镇,青岩镇,
4,520111102,镇,石板镇,
4,520111104,镇,麦坪镇,
4,520111105,镇,燕楼镇,
4,520111201,民族乡,孟关苗族布依族乡,
4,520111204,民族乡,湖潮苗族布依族乡,
4,520111205,乡,久安乡,
4,520111207,民族乡,高坡苗族乡,
4,520111208,民族乡,黔陶布依族苗族乡,
4,520111209,民族乡,马铃布依族苗族乡,
3,520112000,市辖区,乌当区,
4,520112001,街道,龙广路街道,
4,520112002,街道,新创路街道,
4,520112003,街道,观溪路街道,
4,520112004,街道,新光路街道,
4,520112005,街道,高新路街道,
4,520112101,镇,东风镇,
4,520112102,镇,水田镇,
4,520112103,镇,羊昌镇,
4,520112104,镇,新场镇,
4,520112105,镇,下坝镇,
4,520112106,镇,百宜镇,
4,520112203,民族乡,新堡布依族乡,
4,520112206,民族乡,偏坡布依族乡,
3,520113000,市辖区,白云区,
4,520113001,街道,泉湖街道,
4,520113010,街道,大山洞街道,
4,520113013,街道,云城街道,
4,520113014,街道,龚家寨街道,
4,520113015,街道,都拉营街道,
4,520113101,镇,麦架镇,
4,520113102,镇,沙文镇,
4,520113103,镇,艳山红镇,
4,520113202,民族乡,都拉布依族乡,
4,520113204,民族乡,牛场布依族乡,
3,520115000,市辖区,观山湖区,
4,520115001,街道,宾阳街道,
4,520115002,街道,云潭街道,
4,520115003,街道,观山街道,
4,520115004,街道,金华园街道,
4,520115005,街道,金阳街道,
4,520115006,街道,世纪城街道,
4,520115007,街道,长岭街道,
4,520115100,镇,金华镇,
4,520115101,镇,朱昌镇,
4,520115102,镇,百花湖镇,
3,520121000,县,开阳县,
4,520121001,街道,硒城街道,
4,520121002,街道,云开街道,
4,520121003,街道,紫兴街道,
4,520121101,镇,双流镇,
4,520121102,镇,金中镇,
4,520121103,镇,冯三镇,
4,520121104,镇,楠木渡镇,
4,520121105,镇,龙岗镇,
4,520121106,镇,花梨镇,
4,520121107,镇,永温镇,
4,520121190,镇,城关镇,revoked
4,520121200,乡,南龙乡,
4,520121202,乡,宅吉乡,
4,520121204,乡,龙水乡,
4,520121205,乡,米坪乡,
4,520121206,民族乡,禾丰布依族苗族乡,
4,520121207,民族乡,南江布依族苗族乡,
4,520121208,民族乡,高寨苗族布依族乡,
4,520121209,乡,毛云乡,
3,520122000,县,息烽县,
4,520122001,街道,永阳街道,
4,520122100,镇,永靖镇,
4,520122101,镇,温泉镇,
4,520122102,镇,九庄镇,
4,520122103,镇,小寨坝镇,
4,520122104,镇,养龙司镇,
4,520122105,镇,石硐镇,
4,520122106,镇,西山镇,
4,520122107,镇,鹿窝镇,
4,520122108,镇,流长镇,
4,520122200,民族乡,青山苗族乡,
3,520123000,县,修文县,
4,520123001,街道,龙场街道,
4,520123002,街道,阳明洞街道,
4,520123003,街道,景阳街道,
4,520123004,街道,扎佐街道,
4,520123005,街道,久长街道,
4,520123103,镇,六广镇,
4,520123104,镇,六桶镇,
4,520123105,镇,洒坪镇,
4,520123106,镇,六屯镇,
4,520123107,镇,谷堡镇,
4,520123108,镇,小箐镇,
4,520123204,民族乡,大石布依族乡,
3,520181000,县级市,清镇市,
4,520181002,街道,滨湖街道,
4,520181003,街道,巢凤街道,
4,520181004,街道,青龙山街道,
4,520181100,镇,红枫湖镇,
4,520181101,镇,站街镇,
4,520181102,镇,卫城镇,
4,520181103,镇,新店镇,
4,520181104,镇,犁倭镇,
4,520181105,镇,暗流镇,
4,520181201,民族乡,麦格苗族布依族乡,
4,520181203,民族乡,王庄布依族苗族乡,
4,520181204,民族乡,流长苗族乡,
2,520200000,地级市,六盘水市,
3,520201000,市辖区,钟山区,
4,520201001,街道,黄土坡街道,
4,520201002,街道,荷城街道,
4,520201003,街道,凤凰街道,
4,520201004,街道,德坞街道,
4,520201005,街道,荷泉街道,
4,520201006,街道,红岩街道,
4,520201007,街道,杨柳街道,
4,520201008,街道,月照街道,
4,520201009,街道,双戛街道,
4,520201101,镇,大河镇,
4,520201102,镇,汪家寨镇,
4,520201103,镇,大湾镇,
4,520201104,镇,木果镇,
4,520201105,镇,保华镇,
4,520201201,民族乡,青林苗族彝族乡,
4,520201202,民族乡,金盆苗族彝族乡,
4,520201203,民族乡,南开苗族彝族乡,
3,520203000,特区,六枝特区,
4,520203001,街道,九龙街道,
4,520203002,街道,银壶街道,
4,520203003,街道,塔山街道,
4,520203102,镇,岩脚镇,
4,520203103,镇,木岗镇,
4,520203104,镇,大用镇,
4,520203105,镇,关寨镇,
4,520203106,镇,牂牁镇,
4,520203107,镇,新华镇,
4,520203108,镇,龙河镇,
4,520203109,镇,新窑镇,
4,520203110,镇,郎岱镇,
4,520203203,民族乡,梭戛苗族彝族回族乡,
4,520203204,民族乡,牛场苗族彝族乡,
4,520203205,乡,新场乡,
4,520203208,民族乡,中寨苗族彝族布依族乡,
4,520203213,民族乡,落别布依族彝族乡,
4,520203214,民族乡,月亮河彝族布依族苗族乡,
4,520203600,镇,平寨镇,revoked
3,520204000,市辖区,水城区,
4,520204001,街道,尖山街道,
4,520204002,街道,双水街道,
4,520204003,街道,老鹰山街道,
4,520204004,街道,董地街道,
4,520204005,街道,海坪街道,
4,520204006,街道,新桥街道,
4,520204007,街道,以朵街道,
4,520204008,街道,石龙街道,
4,520204009,街道,红桥街道,
4,520204100,镇,蟠龙镇,
4,520204101,镇,发耳镇,
4,520204102,镇,都格镇,
4,520204103,镇,鸡场镇,
4,520204104,镇,勺米镇,
4,520204105,镇,化乐镇,
4,520204106,镇,比德镇,
4,520204107,镇,阿戛镇,
4,520204108,镇,玉舍镇,
4,520204109,镇,陡箐镇,
4,520204110,镇,米箩镇,
4,520204200,民族乡,坪寨彝族乡,
