parent,code,type,name
513435,513435296,乡,阿兹觉:乡
513437,513437290,乡,回龙场:乡
513437,513437299,乡,一车:乡
520121,520121190,镇,城关:镇
520203,520203600,镇,平寨:镇
520204,520204600,镇,滥坝:镇
520204,520204609,民族乡,发箐|苗族|彝族:乡
520302,520302097,街道,南门关:街道
520327,520327603,乡,石径:乡
520328,520328602,街道,茶城:街道
520328,520328603,街道,桃花江:街道
520627,520627600,乡,黑獭:乡
522323,522323602,乡,窝沿:乡
522323,522323604,镇,三板桥:镇
522323,522323605,乡,雪浦:乡
522323,522323702,镇,罐子窑:镇
522326,522326600,乡,坎边:乡
522326,522326601,乡,岜饶:乡
522326,522326605,镇,纳夜:镇
522327,522327600,乡,庆坪:乡
522327,522327601,乡,达央:乡
530724,530724100,镇,大兴:镇
532501,532501001,街道,城区:街道
532901,532901190,镇,下关:镇
610117,610117603,镇,榆楚:镇
610118,610118613,镇,天桥:镇
610422,610422601,镇,安乐:镇
610426,610426603,镇,仪井:镇
610426,610426606,镇,窦家:镇
610426,610426608,镇,御驾宫:镇
610426,610426609,镇,永太:镇
610428,610428607,镇,地掌:镇
610429,610429608,镇,丈八寺:镇
610430,610430602,镇,马家:镇
610430,610430608,镇,胡家庙:镇
610430,610430610,镇,卜家:镇
610430,610430611,镇,固贤:镇
610522,610522605,镇,安乐:镇
610523,610523624,镇,平民:镇
610527,610527609,镇,云台:镇
610528,610528616,镇,小惠:镇
610602,610602604,乡,梁村:乡
610621,610621600,乡,郭旗:乡
610627,610627600,镇,城关:镇
610628,610628607,镇,交道:镇
610628,610628608,镇,吉子现:镇
610629,610629601,乡,黄章:乡
610629,610629604,乡,杨舒:乡
610629,610629608,乡,朱牛:乡
610723,610723616,镇,白石:镇
610723,610723617,镇,长溪:镇
610723,610723618,镇,四郎:镇
610727,610727600,镇,城关:镇
610727,610727608,镇,何家岩:镇
610729,610729600,镇,城关:镇
610803,610803600,镇,横山:镇
610825,610825605,乡,纪畔:乡
610826,610826606,乡,韭园沟:乡
610827,610827601,乡,桥河岔:乡
610827,610827604,乡,十里铺:乡
610831,610831605,乡,槐树岔:乡
610881,610881600,镇,神木:镇
611025,611025612,镇,东川:镇
611025,611025616,镇,灵龙:镇
620111,620111002,街道,下窑:街道
630202,630202100,镇,碾伯:镇
650103,650103611,街道,水泥厂街:街道
653022,653022609,乡,库斯拉甫:乡
654203,654203109,镇,三道河子:镇
