parent,specific,generic
130224103,胡各庄,镇
130224104,坨里,镇
130224105,姚王庄,镇
130224106,司各庄,镇
130224107,安各庄,镇
130224108,扒齿港,镇
130224109,程庄,镇
130224110,青坨营,镇
130224111,柏各庄,镇
130224114,南堡,镇
130224115,方各庄,镇
130224116,东黄坨,镇
130224117,马城,镇
130225001,乐安,街道
130225100,乐亭,镇
130225101,汤家河,镇
130225102,胡家坨,镇
130225103,王滩,镇
130225104,闫各庄,镇
130225105,马头营,镇
130225106,新寨,镇
130225107,汀流河,镇
130225108,姜各庄,镇
130225109,毛庄,镇
130225110,中堡,镇
130225111,大相各庄,镇
130225201,庞各庄,乡
130225203,古河,乡
130227001,栗乡,街道
130227100,兴城,镇
130227101,金厂峪,镇
130227102,洒河桥,镇
130227103,太平寨,镇
130227104,罗家屯,镇
130227105,东荒峪,镇
130227106,新集,镇
130227107,三屯营,镇
130227108,滦阳,镇
130227109,汉儿庄,镇
130227110,新庄子,镇
130227111,东莲花院,镇
130227112,白庙子,镇
130227113,上营,镇
130227203,渔户寨,乡
130227204,旧城,乡
130227205,尹庄,乡
130229001,无终,街道
130229100,玉田,镇
130229101,亮甲店,镇
130229102,鸦鸿桥,镇
130229103,窝洛沽,镇
130229104,石臼窝,镇
130229105,虹桥,镇
130229106,散水头,镇
130229107,林南仓,镇
130229108,林西,镇
130229109,杨家板桥,镇
130229110,彩亭桥,镇
130229111,孤树,镇
130229112,大安,镇
130229113,唐自头,镇
130229114,郭家屯,镇
130229115,杨家套,镇
130229116,陈家铺,镇
130229201,林头屯,乡
130229203,潮洛窝,乡
130229205,郭家桥,乡
130281001,华明路,街道
130281002,文化路,街道
130281100,遵化,镇
130281101,堡子店,镇
130281102,马兰峪,镇
130281103,平安城,镇
130281104,东新庄,镇
130281105,新店子,镇
130281106,党峪,镇
130281107,地北头,镇
130281108,东旧寨,镇
130281109,铁厂,镇
130281110,苏家洼,镇
130281111,建明,镇
130281112,石门,镇
130281113,崔家庄,镇
130281114,西留村,镇
130281115,兴旺寨,镇
130281116,西三里,镇
130281117,团瓢庄,镇
130281118,娘娘庄,镇
130281119,侯家寨,镇
130281203,西下营|满族,乡
130281204,汤泉|满族,乡
130281205,东陵|满族,乡
130281206,刘备寨,乡
130281211,小厂,乡
130283001,永顺,街道
130283002,兴安,街道
130283003,滨河,街道
130283004,杨店子,街道
130283101,夏官营,镇
130283102,杨各庄,镇
130283103,建昌营,镇
130283104,赵店子,镇
130283105,野鸡坨,镇
130283106,大崔庄,镇
130283108,蔡园,镇
130283109,马兰庄,镇
130283110,沙河驿,镇
130283111,木厂口,镇
130283112,上射雁庄,镇
130283113,太平庄,镇
130283114,扣庄,镇
130283115,大五里,镇
130283116,五重安,镇
130283117,彭店子,镇
130283118,阎家店,镇
130284001,滦河,街道
130284002,古城,街道
130284003,滦城路,街道
130284004,响嘡,街道
130284100,东安各庄,镇
130284101,雷庄,镇
130284102,茨榆坨,镇
130284103,榛子,镇
130284104,杨柳庄,镇
130284105,油榨,镇
130284106,古马,镇
130284107,小马庄,镇
130284108,九百户,镇
130284109,王店子,镇
130302001,文化路,街道
130302002,海滨路,街道
130302003,北环路,街道
130302004,建设大街,街道
130302005,河东,街道
130302006,西港路,街道
130302007,燕山大街,街道
130302008,港城大街,街道
130302009,东环路,街道
130302010,白塔岭,街道
130302011,珠江道,街道
130302012,黄河道,街道
130302013,腾飞路,街道
130302100,东港,镇
130302101,海港,镇
130302102,西港,镇
130302103,海阳,镇
130302104,北港,镇
130302105,石门寨,镇
130302106,驻操营,镇
130302107,杜庄,镇
130303001,南关,街道
130303002,东街,街道
130303003,西街,街道
130303004,路南,街道
130303005,船厂路,街道
130303100,第一关,镇
130303101,石河,镇
130303102,孟姜,镇
130303200,渤海,乡
130304001,西山,街道
130304002,东山,街道
130304003,南戴河,街道
130304100,海滨,镇
130304101,戴河,镇
130304102,牛头崖,镇
130306001,骊城,街道
130306100,抚宁,镇
130306101,留守营,镇
130306102,榆关,镇
130306103,台营,镇
130306104,大新寨,镇
130306105,坟坨,镇
130306200,茶棚,乡
130321001,都阳路,街道
130321100,青龙,镇
130321101,祖山,镇
130321102,木头凳,镇
130321103,双山子,镇
130321104,马圈子,镇
130321105,肖营子,镇
130321106,大巫岚,镇
130321107,土门子,镇
130321108,八道河,镇
130321109,隔河头,镇
130321110,娄杖子,镇
130321111,龙王庙,镇
130321112,茨榆山,镇
130321113,凉水河,镇
130321200,凤凰山,乡
130321202,三星口,乡
130321203,干沟,乡
130321206,大石岭,乡
130321208,官场,乡
130321210,平方子,乡
130321211,安子岭,乡
130321212,朱杖子,乡
130321213,草碾,乡
130321217,三拨子,乡
130322100,昌黎,镇
130322101,靖安,镇
130322102,安山,镇
130322103,龙家店,镇
